TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
36081067900,4094,14.3,26.5,14.9,33.0,78.5,8.1,8.8,8.2,76.3,86.2,62.1,7.3,28.4,27.1,14.7,64.6,12.9,38.1,3.8,33.2,78.3,12.0,24.2,80.6,13.9,36.8,4.0,15.4
36081068000,4708,13.8,22.2,16.3,35.4,75.3,5.4,11.7,5.0,81.3,87.2,67.8,5.4,25.2,28.4,16.8,65.3,12.6,30.7,3.1,31.6,83.8,12.6,31.3,85.1,11.8,45.7,3.6,13.7
36081068200,1102,13.3,23.6,15.3,38.3,77.6,5.8,11.2,5.7,82.3,87.9,67.5,5.6,24.7,27.9,16.1,63.8,14.0,32.2,3.4,32.6,83.4,12.1,32.4,85.7,12.0,45.5,4.0,14.9
36081068300,4210,15.1,17.5,13.9,26.4,75.0,5.2,7.2,5.1,75.5,86.0,58.7,3.8,26.7,27.5,11.4,64.8,12.4,34.2,2.8,30.4,78.7,9.6,19.2,76.9,10.4,39.1,2.5,10.3
36081068700,4630,12.7,18.5,15.3,25.4,73.5,5.5,7.8,5.1,74.2,84.9,61.0,4.6,28.8,29.5,13.4,66.7,10.6,33.4,2.7,29.4,77.9,10.6,18.8,76.5,10.6,39.0,2.5,11.0
36081069000,3252,13.9,21.8,15.8,35.2,75.0,5.1,11.7,5.0,81.0,86.6,66.8,5.4,24.2,27.7,17.1,64.3,12.7,30.3,3.2,32.5,83.9,13.1,32.4,85.6,12.1,45.5,3.6,14.4
36081069300,2883,13.0,19.1,15.8,25.8,72.7,5.6,8.3,5.3,73.4,84.0,57.8,5.1,27.9,27.1,14.5,62.9,10.4,33.1,2.8,30.2,78.9,11.6,21.2,78.2,11.3,39.6,2.6,13.5
36081069400,3314,13.3,20.7,16.1,33.9,74.1,4.9,11.6,4.8,80.7,86.2,66.2,5.1,25.0,27.7,16.4,64.1,12.1,29.5,3.0,31.4,84.1,12.9,31.5,85.0,11.5,45.5,3.4,14.2
36081069500,2128,11.6,19.9,15.5,26.7,75.1,6.2,7.7,5.6,74.9,85.9,63.6,4.9,31.8,31.6,12.6,70.6,10.6,34.6,2.8,28.6,78.9,10.3,19.3,77.7,10.6,37.3,2.7,9.7
36081069701,3616,10.5,19.1,16.7,25.0,73.5,6.1,8.0,5.2,74.0,85.4,65.2,4.5,32.7,31.4,12.0,71.0,9.1,32.4,2.6,26.5,79.4,10.2,19.9,80.4,9.8,36.5,2.5,9.8
36081069702,3911,10.4,19.7,15.4,26.2,75.8,6.5,7.4,5.4,75.7,86.8,64.3,4.5,33.1,32.7,11.5,72.8,9.9,34.5,2.6,27.0,78.5,9.3,17.2,77.4,9.7,36.3,2.5,8.9
