tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037224200,697,25,41,0,1867,174,706,125,12,29,3,29
06037224310,570,12,50,0,959,27,531,93,3,13,1,12
06037224320,823,25,44,0,1783,91,772,119,4,35,2,20
06037224410,915,42,88,0,430,29,547,149,11,18,0,18
06037224420,500,20,48,0,210,32,288,88,2,14,2,25
06037224600,1231,71,75,0,4974,879,762,130,113,82,2,92
06037224700,281,25,6,0,131,19,51,28,22,31,5,65
06037226001,986,115,64,2,7049,989,1141,134,131,102,5,166
06037226002,1141,109,14,7,4984,3046,2429,91,81,222,7,186
06037226410,1236,70,86,0,1615,87,349,148,37,28,1,37
06037226420,1924,94,136,0,1856,69,486,268,33,23,0,39
06037226700,2353,163,183,0,3030,231,788,339,66,43,0,59
06037227010,1425,102,103,0,2877,209,625,189,91,52,2,78
06037227020,1271,85,96,1,2007,120,398,157,25,35,0,82
06037228100,2132,154,159,1,2911,146,608,274,57,121,2,170
06037228210,1578,102,127,1,1485,27,411,233,6,16,2,12
06037228220,1601,103,145,2,1081,26,366,212,16,24,0,33
06037228310,1631,104,118,0,2152,121,335,245,28,29,2,23
06037228320,996,67,67,0,705,30,191,117,24,16,0,20
06037228410,1161,48,101,0,961,12,212,190,14,25,2,11
06037228420,1152,93,85,0,1430,145,479,143,8,10,0,12
06037228500,2177,142,197,0,1543,263,491,278,23,36,1,46
06037228600,1524,129,100,0,1292,66,430,216,37,27,0,24
06037228710,1650,72,137,0,1296,76,388,254,11,6,0,18
06037228720,1737,132,109,0,1127,26,461,226,5,33,3,39
06037228800,1655,115,138,2,2383,138,607,211,21,68,3,83
06037228900,638,131,27,0,1205,27,331,67,20,67,1,65
06037229100,1758,112,145,0,1200,99,410,264,26,27,0,45
06037229200,1743,96,151,0,597,36,349,235,3,21,0,32
06037229300,2137,160,161,1,1240,61,343,270,35,23,0,43
06037229410,1391,84,84,0,855,83,283,188,19,15,0,29
06037229420,1745,92,168,0,1116,55,258,266,5,13,1,38
06037231100,1171,88,62,5,4584,641,751,139,86,74,2,63
06037231210,2341,74,204,0,373,29,498,269,51,24,0,22
06037231220,1996,60,169,1,647,13,552,224,10,51,3,35
06037231300,3222,175,201,0,803,32,654,377,12,81,1,15
06037231400,3113,143,191,2,473,59,567,431,0,42,8,27
06037231500,2936,159,220,4,249,33,593,447,13,46,1,24
06037231600,4025,216,307,0,989,25,832,547,22,37,0,20
06037231710,2134,76,131,0,2794,75,814,185,14,26,0,24
06037231720,1939,80,112,1,1586,133,578,200,21,34,5,37
06037231800,2107,97,173,1,2434,170,822,300,32,59,1,52
06037231900,2099,179,155,0,1682,305,612,301,91,55,0,70
06037232110,1739,80,125,0,1419,40,464,213,33,25,0,12
06037232120,2110,123,145,1,928,103,507,245,29,39,0,44
06037232200,2066,130,130,1,1166,37,542,191,21,40,1,32
06037232300,2612,155,180,0,1904,58,583,269,7,60,2,24
06037232400,4337,255,300,1,460,81,1039,523,26,51,3,27
06037232500,2754,149,187,1,666,90,834,296,16,61,2,21
06037232600,3037,158,209,0,2247,68,884,383,27,60,1,38
06037232700,2706,172,198,2,2487,286,985,342,88,55,2,61
06037232800,1534,89,116,0,1734,436,415,194,118,52,3,68
