tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037101110,2749,71,230,1,266,14,216,483,4,64,1,4
06037101122,1940,43,194,2,62,5,111,473,4,54,6,20
06037101210,2985,68,222,2,777,32,688,441,2,97,0,12
06037101220,1753,48,121,0,175,3,254,294,3,50,1,8
06037101300,2143,64,163,0,62,54,131,491,6,81,3,20
06037101400,2543,89,184,4,306,72,433,574,12,83,6,34
06037102103,913,27,78,0,77,4,58,180,6,17,1,14
06037102104,1536,53,164,1,79,29,73,395,20,32,1,16
06037102105,1010,29,92,0,40,13,100,192,0,19,2,3
06037102107,1648,113,110,1,193,76,220,338,26,91,4,35
06037103101,1608,30,127,0,39,13,49,335,1,21,4,4
06037103102,2880,99,243,1,453,67,159,599,4,62,3,9
06037103200,3361,167,250,2,259,470,320,670,40,134,2,61
06037103300,1876,146,140,1,73,26,182,475,24,69,3,42
06037103400,3930,135,307,1,403,230,433,741,8,96,4,17
06037104103,2151,85,233,2,117,67,185,342,8,45,1,17
06037104105,1896,66,184,0,374,39,210,422,6,19,0,9
06037104108,2165,86,230,0,360,57,326,294,9,52,2,33
06037104124,1716,100,184,0,119,23,140,344,15,36,1,20
06037104201,2280,119,236,1,2338,94,432,356,6,39,0,18
06037104203,1899,94,177,0,437,13,271,258,35,41,0,16
06037104204,931,62,89,1,315,123,242,157,9,38,0,28
06037104310,2293,114,259,1,447,117,325,383,32,74,1,39
06037104320,2740,184,218,2,707,429,827,367,51,94,2,50
06037104401,1260,92,129,2,360,29,166,190,7,25,1,23
06037104403,1376,113,137,3,623,73,383,185,28,110,1,33
06037104404,1281,93,136,0,463,25,255,200,2,33,2,8
06037104500,1387,111,153,2,360,5,403,197,3,47,1,3
06037104610,1451,114,115,1,219,31,228,208,7,48,2,8
06037104620,1598,116,151,0,156,4,335,206,21,41,1,9
06037104701,1023,67,74,1,152,20,296,131,3,47,1,23
06037104703,912,51,68,1,178,120,395,115,26,34,3,18
06037104704,1553,65,126,2,395,81,353,219,27,62,5,21
06037104810,2090,122,186,2,308,53,317,302,140,58,0,78
06037104821,1296,72,122,0,260,21,240,162,58,19,1,28
06037104822,870,58,80,0,374,67,210,107,77,45,4,35
06037106010,1412,82,156,0,169,45,110,291,8,48,5,10
06037106020,2539,111,244,1,474,27,273,461,5,71,2,17
06037106111,1989,68,238,0,171,7,61,522,21,32,3,63
06037106112,2995,125,297,0,1613,78,382,592,24,114,0,30
06037106113,1717,90,178,1,875,116,192,339,13,36,1,24
06037106114,2190,123,266,0,1626,78,291,336,13,47,0,17
06037106403,1696,133,207,0,1026,18,247,332,5,38,0,9
06037106405,1512,102,141,0,1462,39,943,242,9,36,5,15
06037106406,2585,153,232,1,461,79,479,503,66,84,18,58
06037106407,769,21,68,0,813,16,119,95,3,13,1,5
06037106408,1120,19,70,0,473,9,215,160,1,11,1,11
06037106510,2035,131,178,1,1073,81,347,527,32,77,3,67
06037106520,2492,185,283,1,849,220,483,477,13,67,2,70
06037106603,1352,58,109,2,52,4,86,326,10,28,5,39
06037106604,2571,140,233,3,681,62,328,411,18,47,4,58
06037106641,1089,49,75,1,11,1,58,311,5,18,0,17
06037106642,1653,87,136,0,55,35,131,419,21,41,2,29
06037106643,1642,92,142,0,145,12,87,469,11,26,1,31
06037106645,1481,68,141,0,23,1,66,419,2,25,2,6
06037106646,1592,89,105,0,148,94,183,340,14,42,3,36
06037106648,1652,71,135,1,619,30,150,242,6,15,0,30
06037106649,1228,77,128,0,574,86,166,292,43,23,7,28
06037107010,1479,109,156,0,640,29,144,285,5,30,1,7
06037107020,2374,129,232,1,458,27,302,440,10,45,1,13
06037108101,1075,70,106,0,40,4,57,317,17,25,0,19
06037108102,1424,99,140,0,108,35,118,467,30,26,4,30
06037108103,1187,67,130,1,119,1,63,434,26,27,1,41
06037108104,908,23,104,0,149,0,59,270,3,21,3,2
06037108201,1721,52,233,1,43,12,39,644,11,17,2,20
06037108202,1732,67,197,0,57,11,53,511,8,23,3,18
06037109100,1370,104,141,2,237,113,163,290,15,67,0,22
06037109200,1400,41,107,0,126,13,202,271,5,29,0,12
06037109300,1659,74,115,2,383,24,279,292,9,57,2,15
06037109400,2174,98,239,1,466,64,314,412,26,47,1,10
06037109500,2198,144,224,0,383,77,363,442,16,32,1,4
06037109601,2819,224,252,2,283,142,508,423,16,122,4,34
06037109603,2227,110,199,1,513,73,315,397,19,72,2,34
06037109604,1905,117,128,2,667,230,297,331,10,108,4,27
06037109700,2137,122,182,1,533,85,307,408,5,45,0,15
06037109800,2293,111,177,0,226,78,251,395,31,44,2,22
06037111100,1536,92,110,0,248,20,131,326,5,32,4,14
06037111201,1857,104,155,1,99,71,143,408,4,28,1,13
06037111202,2603,129,188,2,172,65,202,501,5,86,3,33
06037111204,2517,135,257,1,202,18,201,700,63,42,1,73
06037111205,1288,84,113,3,190,17,103,324,1,25,1,27
06037111206,2415,135,204,0,93,15,242,527,15,66,3,51
06037111301,2866,127,203,1,428,176,350,566,12,70,1,43
06037111302,2053,89,134,0,239,104,260,426,14,55,1,43
06037111400,3019,174,196,1,542,410,368,566,21,71,6,47
06037113101,1725,138,175,0,428,45,215,422,20,52,2,38
06037113102,1235,78,154,2,102,48,105,351,11,23,9,51
06037113211,1762,95,203,1,338,48,181,538,10,66,4,40
06037113212,1563,63,132,0,375,115,166,439,6,41,1,34
06037113213,1994,87,161,1,581,116,325,464,9,72,4,24
06037113231,1069,36,96,1,28,2,52,330,4,30,4,34
06037113232,1894,117,189,1,195,57,255,474,9,52,1,37
06037113233,2545,60,176,2,377,187,622,505,17,88,3,34
06037113234,1579,66,155,0,262,86,255,366,23,41,2,13
06037113235,2,0,0,0,0,0,0,0,0,0,0,0
06037113237,1658,124,150,0,357,426,355,544,17,83,4,66
06037113301,968,151,77,1,399,55,159,287,20,49,1,34
06037113303,2762,312,255,1,710,541,577,646,38,153,3,81
06037113321,1930,77,128,0,837,133,385,387,13,68,11,64
06037113322,2116,126,199,0,164,34,225,547,16,80,2,81
06037113401,2888,209,256,1,683,150,620,470,13,68,2,62
06037113421,1675,118,125,0,375,206,382,252,10,54,3,44
06037113422,2421,153,185,0,274,132,347,441,5,52,1,14
06037115101,2098,217,147,2,410,66,212,514,110,101,5,74
06037115103,38,17,0,1,97,1,12,2,3,7,1,12
06037115104,1283,65,61,0,298,2,194,219,10,34,0,12
06037115201,2456,91,168,3,491,12,237,489,8,37,4,38
06037115202,2836,156,204,2,1675,107,402,497,29,107,3,43
06037115301,1659,100,129,1,256,8,163,388,14,36,2,67
06037115302,873,47,59,0,234,9,172,124,0,29,0,25
06037115401,1773,100,115,0,623,15,312,335,13,49,0,29
06037115403,1280,58,97,0,2632,34,272,185,10,18,1,22
06037115404,1443,89,114,1,503,85,254,188,9,42,1,23
06037117101,1846,103,163,1,609,23,332,288,10,57,5,20
06037117102,1303,104,112,0,220,62,139,191,5,64,2,19
06037117201,1600,74,115,2,833,345,251,234,11,52,4,13
06037117202,1239,93,113,1,965,223,276,236,69,56,0,47
06037117301,2179,139,154,0,143,20,188,411,30,31,0,38
06037117302,2433,136,183,3,461,50,162,550,49,90,4,65
06037117303,1932,135,147,0,280,102,270,309,50,83,1,28
06037117404,2121,123,173,0,517,184,294,374,49,76,6,43
06037117405,1478,10,81,1,311,53,248,136,8,24,2,12
06037117407,1174,23,67,0,232,99,454,141,8,13,0,12
06037117408,1072,18,87,0,293,44,390,140,13,36,0,19
06037117510,1510,39,91,0,336,32,292,176,5,27,1,9
06037117520,1740,31,148,1,636,91,517,199,5,24,2,13
06037117530,2401,47,187,0,1573,69,614,307,10,80,2,22
06037119001,2496,120,244,0,355,126,590,336,143,60,1,144
06037119002,3872,212,420,5,694,130,795,518,67,88,6,57
06037119201,2550,137,266,0,420,101,510,376,14,47,7,27
06037119202,2591,110,286,0,396,116,499,395,17,66,2,35
06037119310,1617,64,130,0,487,105,307,194,3,42,2,19
06037119320,1857,55,145,1,329,46,322,192,7,31,1,8
06037119340,1239,17,63,0,139,5,328,149,1,13,1,2
06037119341,1057,44,109,0,219,31,202,171,2,10,1,11
06037119342,992,37,97,4,344,1,304,114,8,25,0,8
06037119400,3241,190,331,0,404,45,578,447,115,67,1,83
06037119700,3112,128,274,0,331,162,572,441,26,75,0,107
06037119800,3695,157,348,0,603,55,734,508,28,59,4,40
06037119900,3018,141,278,0,360,45,461,451,5,103,1,55
06037120010,1429,64,130,0,468,122,355,211,2,34,0,3
06037120020,1750,60,117,1,591,161,538,171,4,37,4,9
06037120030,1011,32,57,0,349,86,513,103,1,7,1,3
06037120103,1313,25,75,0,167,5,331,94,1,7,0,2
06037120104,822,21,53,0,404,121,276,82,16,21,2,17
06037120105,1604,66,180,0,272,23,310,208,8,57,1,14
06037120106,1422,23,119,0,151,26,493,171,5,20,0,4
06037120107,1118,20,98,0,243,22,519,85,2,16,0,8
06037120108,1944,25,168,0,245,49,546,170,4,27,0,6
06037120300,3633,162,321,2,1041,325,888,399,20,140,3,37
06037120400,3226,139,282,1,1110,255,693,417,11,57,1,53
06037121010,2981,213,198,2,1499,132,752,329,38,128,1,68
06037121020,2075,105,129,1,417,71,399,231,19,47,2,25
06037121101,1324,33,114,0,355,61,352,200,4,27,0,19
06037121102,2171,239,144,2,924,654,1166,321,131,120,4,124
06037121210,1888,106,182,0,541,110,517,263,147,72,4,126
06037121221,1183,65,130,0,129,23,202,171,18,22,1,12
06037121222,1985,75,171,1,608,157,533,280,47,60,0,75
06037121600,1699,85,139,0,315,65,241,239,28,39,2,24
06037121801,1728,26,150,1,394,83,311,242,12,31,2,9
06037121802,1827,97,143,1,576,804,726,247,9,71,3,19
06037121900,2153,121,191,0,794,284,763,248,26,43,1,23
06037122000,2985,212,247,4,1116,262,692,435,45,82,10,211
06037122120,2485,79,206,2,241,15,387,309,20,27,0,24
06037122121,1252,58,102,0,208,80,228,148,4,37,0,13
06037122122,1074,41,62,2,667,424,525,120,14,46,0,43
06037122200,2057,86,167,1,356,212,574,297,17,24,1,20
06037122410,1595,25,91,0,901,82,259,148,13,22,0,11
06037122420,2189,97,156,0,490,69,227,290,8,21,0,14
06037123010,1830,72,121,0,448,57,280,196,30,63,1,35
06037123020,2122,50,165,2,138,31,389,217,5,37,7,12
06037123103,2027,37,99,0,677,302,407,243,8,38,2,30
06037123104,2332,65,136,0,323,165,597,309,3,37,0,2
06037123203,1651,35,89,0,1323,60,287,204,10,20,4,9
06037123204,1443,37,84,0,535,20,197,176,3,20,3,2
06037123205,1518,43,103,2,1082,174,435,163,8,34,0,16
06037123206,705,26,56,0,804,113,201,98,5,12,0,9
06037123301,1976,68,178,1,1155,110,300,342,31,49,3,16
06037123303,1499,54,105,0,1118,45,356,204,4,29,0,2
06037123304,1942,79,121,1,1007,80,357,211,18,43,1,24
06037123410,1932,40,131,0,1118,84,234,257,1,43,4,6
06037123420,1842,90,109,3,1656,378,419,258,6,55,1,15
06037123510,2783,82,168,1,1087,74,310,251,8,61,4,8
06037123520,1622,43,84,0,909,16,188,179,6,48,4,2
06037123601,2132,83,135,0,943,211,320,321,8,54,7,39
06037123602,1979,89,152,0,852,32,237,296,17,44,3,20
06037123700,2366,103,170,1,766,24,305,310,14,103,4,12
06037123800,2940,143,222,1,604,159,341,425,30,61,7,47
06037123901,2249,92,133,1,2517,328,376,308,26,52,3,20
06037123902,1398,54,89,0,306,48,104,280,5,31,0,4
06037124000,2532,123,154,1,271,53,195,517,13,70,5,32
06037124102,2165,39,125,0,1221,196,426,300,31,53,2,55
06037124103,1091,23,65,0,775,92,160,94,2,37,0,7
06037124104,1033,22,72,1,566,131,250,137,7,30,1,11
06037124105,1328,32,67,0,567,316,322,152,2,28,1,6
06037124201,1954,71,151,1,731,129,258,295,6,33,2,12
06037124203,1743,55,107,1,321,13,234,239,1,14,0,2
06037124204,1605,27,94,0,282,31,200,220,1,27,0,2
06037124300,2366,69,193,0,864,164,739,326,2,87,2,1
06037124400,2390,113,124,3,258,67,220,370,46,68,9,24
06037124500,1534,92,110,0,273,27,186,259,9,53,6,13
06037124600,1540,90,102,1,237,156,186,305,10,57,2,10
06037124700,2114,88,138,1,243,704,271,392,8,77,4,32
06037124902,1277,21,100,1,263,17,196,189,7,24,2,12
06037124903,1689,29,109,0,347,26,193,244,11,28,21,18
06037125100,2836,126,181,0,672,75,261,436,4,44,6,12
06037125200,2253,101,128,2,724,370,328,375,32,91,5,23
06037125310,2677,86,141,2,1318,250,604,404,23,116,4,39
06037125320,2364,33,103,1,1038,289,234,274,19,65,12,172
06037125401,2318,19,116,1,507,138,231,292,20,64,9,113
06037125402,2474,60,132,4,358,450,340,327,58,67,4,65
06037125501,1813,68,92,1,378,42,189,291,7,53,3,11
06037125502,1928,50,96,1,109,68,143,275,4,46,6,6
06037125600,1164,74,88,0,127,8,60,283,9,53,1,6
06037127102,2920,57,224,0,676,84,458,322,0,52,2,7
06037127103,1019,19,42,1,300,93,127,124,2,36,1,6
06037127104,2446,79,178,0,416,49,244,272,3,40,5,3
06037127210,2649,120,147,1,1128,358,720,259,14,61,7,54
06037127220,2444,90,165,0,909,264,583,239,1,68,2,7
06037127300,1952,82,136,0,377,291,498,336,21,55,3,32
06037127400,2789,138,170,0,1339,211,885,324,30,190,2,39
06037127520,1510,13,91,0,218,87,402,139,5,22,1,24
06037127603,1570,52,80,1,651,30,419,139,4,33,0,6
06037127604,1412,41,103,0,630,68,275,186,5,24,1,3
06037127605,1758,106,91,0,1119,28,502,154,4,40,0,4
06037127606,1599,95,100,2,281,52,361,185,14,33,1,16
06037127711,1716,97,122,2,428,163,367,232,3,88,1,11
06037127712,1538,68,101,0,412,122,317,225,6,32,1,13
06037127803,2397,57,124,0,1013,174,413,204,3,26,3,21
06037127804,1791,49,115,0,571,25,342,185,8,23,1,9
06037127805,1588,80,112,1,1058,247,382,209,7,60,1,5
06037127806,1772,64,85,0,970,328,350,179,2,62,1,5
06037127910,2302,50,141,0,1158,101,316,226,11,34,0,11
06037127920,2935,97,154,1,605,138,281,299,0,34,4,4
06037128101,1947,77,114,1,705,83,292,197,12,52,2,12
06037128102,2460,59,159,1,1299,227,466,224,9,46,8,15
06037128210,2660,67,174,2,1012,342,1042,124,4,52,4,11
06037128220,1637,76,129,0,322,23,246,206,6,27,8,11
06037128302,2128,67,138,0,510,93,476,166,22,34,10,33
06037128303,1896,41,110,0,1363,400,658,107,3,64,1,3
06037128400,2447,101,127,3,759,465,455,357,25,109,6,15
06037128500,2064,98,132,0,330,170,229,328,4,64,6,18
06037128601,2268,71,144,4,839,267,353,239,14,63,8,15
06037128602,1785,107,127,1,237,25,205,306,9,47,2,14
06037128702,2408,183,155,1,238,201,269,433,15,106,10,17
06037128801,1161,39,62,0,161,59,123,170,10,22,8,18
06037128802,2016,54,137,0,141,45,162,349,3,51,3,10
06037128910,2262,120,153,1,294,176,204,392,39,94,9,33
06037131010,2028,117,128,2,770,38,340,259,11,68,3,26
06037131020,3174,105,226,3,2583,123,716,422,9,128,5,26
06037131100,2053,117,169,1,251,8,394,354,10,132,2,19
06037131200,1965,140,154,0,194,21,347,367,3,43,2,8
06037131300,2823,164,219,1,879,103,596,435,8,95,0,12
06037131400,2296,109,181,0,919,77,335,389,7,66,4,17
06037131600,2756,192,229,1,560,30,535,423,9,82,3,24
06037131701,2422,85,210,0,332,39,422,375,16,61,1,28
06037131702,1358,67,110,0,262,9,157,241,11,57,0,8
06037131800,2739,148,174,1,1387,224,511,320,16,131,4,39
06037131900,2793,126,169,0,469,49,538,417,7,106,0,27
06037132001,2061,107,133,0,680,41,364,365,26,64,6,51
06037132002,1991,114,140,0,1213,119,275,320,11,61,3,22
06037132101,1714,106,96,0,1153,34,392,229,12,109,1,16
06037132102,2659,112,171,0,677,31,588,401,12,89,4,20
06037132300,2430,89,184,0,1164,115,420,271,21,87,2,43
06037132501,1731,65,151,0,180,12,203,275,7,21,2,21
06037132502,1779,67,128,1,127,50,230,303,2,44,0,6
06037132700,2614,140,168,0,657,71,364,389,47,67,3,68
06037132900,1976,90,133,2,268,49,199,309,14,52,5,42
06037133000,1973,127,157,0,379,37,337,269,3,79,0,14
06037133100,2177,128,135,0,554,104,301,328,15,68,3,31
06037134001,1562,81,126,0,323,103,452,237,5,50,0,33
06037134002,1548,57,143,0,212,40,190,233,3,26,0,6
06037134101,1991,115,174,0,172,12,210,363,13,91,0,32
06037134103,1861,98,135,1,272,90,291,333,4,60,2,24
06037134104,1652,55,172,0,188,49,260,355,8,30,1,36
06037134201,2086,150,179,1,359,85,405,377,11,76,13,70
06037134302,1951,142,175,5,149,29,259,403,17,45,0,30
06037134303,2579,140,217,1,615,152,354,480,33,71,2,63
06037134304,1369,86,136,0,99,9,229,305,18,37,2,32
06037134305,638,18,42,0,161,78,152,165,3,12,2,3
06037134306,1189,51,85,0,70,73,156,215,5,31,1,22
06037134421,1715,101,175,0,66,6,91,521,13,39,1,45
06037134422,2528,149,212,1,333,102,267,568,25,88,5,102
06037134423,1661,114,164,1,170,7,226,411,15,43,5,29
06037134424,982,44,103,0,57,8,103,299,0,34,6,31
06037134520,2356,66,133,3,1036,341,804,363,41,82,3,49
06037134521,1205,32,87,0,341,60,226,199,0,30,2,2
06037134522,1686,55,125,0,422,126,463,308,4,47,1,23
06037134710,1898,39,142,0,219,6,383,269,2,33,5,7
06037134720,1786,111,127,1,435,73,278,335,8,33,4,17
06037134800,3261,142,282,4,740,112,514,544,19,91,2,32
06037134901,1786,114,126,0,291,70,207,303,37,94,2,59
06037134903,856,27,43,0,330,153,157,88,18,48,0,15
06037134904,2298,77,194,1,251,168,305,375,7,49,0,15
06037134905,351,52,16,1,243,157,116,61,50,66,1,38
06037135102,1709,113,175,1,291,146,225,412,29,57,1,51
06037135111,1509,67,131,1,235,46,170,347,51,41,2,81
06037135113,181,15,29,1,92,45,19,47,5,20,2,13
06037135114,503,39,51,1,436,99,116,125,8,25,1,38
06037135201,1324,72,107,1,250,125,211,246,12,56,1,38
06037135202,2371,160,165,0,123,57,219,517,42,61,6,84
06037135203,3278,141,288,2,178,119,457,668,152,99,6,83
06037137103,590,21,52,2,100,322,51,115,4,35,3,15
06037137104,1434,161,122,0,132,143,198,324,48,34,6,83
06037137201,2148,151,173,2,495,706,252,519,13,120,2,58
06037137301,902,77,72,0,41,14,65,214,7,40,0,21
06037137302,1915,97,165,0,42,66,112,517,56,42,9,77
06037137401,2047,96,156,2,171,353,174,592,14,91,5,25
06037137402,2097,94,170,2,105,31,118,589,19,79,6,79
06037137501,1050,75,76,2,690,741,168,257,18,79,6,57
06037137502,2193,88,158,2,317,457,171,513,10,102,12,25
06037137504,703,24,81,0,9,1,25,216,1,25,2,8
06037138000,1855,106,148,0,14,25,91,550,1,79,7,14
06037139001,2387,159,173,3,200,67,359,490,17,94,8,62
06037139200,2487,156,177,2,189,127,471,463,47,96,9,66
06037139301,2274,153,187,0,510,268,282,438,30,145,11,29
06037139302,1266,14,67,0,527,105,214,182,24,32,0,6
06037139303,1115,17,57,0,516,40,218,146,13,19,2,9
06037139401,1218,41,127,2,670,307,250,254,15,85,5,24
06037139402,1043,68,106,2,534,278,150,262,3,80,9,21
06037139502,1603,58,151,0,158,145,203,329,24,50,5,17
06037139503,1565,20,88,1,62,23,229,183,10,17,15,13
06037139504,1351,14,110,0,34,39,215,246,4,9,3,2
06037139600,1159,65,99,0,290,148,180,256,14,154,14,26
06037139701,1801,139,181,2,192,24,149,477,5,110,12,20
06037139702,1842,103,213,1,42,1,158,552,7,82,19,39
06037139703,878,46,73,0,7,0,51,256,3,10,0,15
06037139801,1202,40,147,1,17,2,31,354,6,29,5,33
06037139802,1139,50,121,0,70,5,50,365,6,65,2,14
06037141101,1786,54,100,0,103,107,188,252,5,42,5,11
06037141102,1124,41,85,3,100,166,98,225,31,41,4,76
06037141201,1839,50,121,2,315,268,252,263,4,47,6,24
06037141202,1105,44,54,0,156,42,83,191,18,45,12,24
06037141302,2138,75,132,1,282,241,295,361,49,111,5,139
06037141303,1145,5,82,0,138,38,86,120,1,27,2,8
06037141304,1269,51,77,0,234,127,137,214,29,56,13,59
06037141400,1627,115,127,1,215,32,140,401,30,98,10,60
06037141500,780,57,83,0,52,8,107,249,76,36,17,249
06037141600,1443,122,114,2,48,7,67,425,20,56,7,76
06037141700,1018,64,94,3,111,2,60,280,31,49,11,145
06037143100,1686,72,95,3,661,134,217,341,56,81,8,75
06037143200,1995,77,99,0,389,677,234,371,58,94,7,48
06037143300,2990,95,190,1,211,600,275,539,43,130,8,62
06037143400,2687,133,192,3,211,423,201,508,14,88,9,20
06037143500,2073,102,120,0,146,112,154,352,12,96,5,13
06037143602,1577,78,127,1,228,246,163,307,33,88,10,26
06037143603,1063,24,69,1,80,34,66,211,14,12,1,54
06037143604,819,9,55,0,387,296,95,146,2,27,3,11
06037143700,1577,90,120,2,447,112,161,385,17,107,7,36
06037143800,2095,118,176,1,595,263,276,470,10,84,12,11
06037143901,1669,116,117,0,359,220,111,461,33,124,13,68
06037143902,955,57,72,1,160,27,66,228,4,31,7,24
06037181000,3204,118,239,2,1266,458,214,733,64,115,23,96
06037181300,2011,71,152,1,401,205,132,390,4,52,1,10
06037181400,2446,75,157,0,1381,175,141,350,5,50,4,37
06037181500,2238,75,183,3,711,56,148,455,8,82,3,14
06037181600,1592,67,136,0,485,16,105,294,9,50,3,8
06037183101,2540,82,217,0,879,75,273,474,7,142,2,8
06037183103,1859,66,151,1,321,31,224,237,5,54,1,12
06037183104,1057,35,86,0,104,4,67,193,1,20,0,8
06037183220,2217,74,214,0,882,15,204,317,6,50,8,9
06037183221,2190,90,190,1,291,1,162,336,6,39,0,5
06037183222,1887,66,137,2,238,5,151,364,35,43,1,21
06037183300,1929,72,166,0,716,33,184,268,0,74,3,1
06037183401,1430,62,109,0,409,14,92,267,1,68,5,12
06037183402,1482,40,120,1,438,10,93,257,5,35,2,2
06037183510,1569,70,128,3,359,7,129,255,2,84,1,3
06037183520,1783,62,117,1,909,7,182,237,1,48,2,5
06037183610,1438,41,121,0,781,89,214,185,4,48,1,8
06037183620,1733,73,152,1,895,231,242,282,5,52,0,3
06037183701,1840,47,138,1,734,179,234,269,17,63,2,20
06037183702,1462,77,109,0,514,40,127,252,5,54,3,41
06037183810,1821,61,95,1,1063,51,246,202,6,49,0,15
06037183820,1303,34,89,0,295,95,131,152,6,46,0,2
06037185100,3162,139,221,0,726,60,370,654,16,165,7,18
06037185202,1768,87,150,3,501,49,173,344,0,72,1,2
06037185203,1980,79,145,0,568,24,323,317,6,39,1,13
06037185204,978,55,99,1,173,5,92,193,0,64,3,0
06037185310,1694,53,149,0,416,5,296,264,2,28,2,7
06037185320,1709,68,143,1,1276,131,281,270,10,48,1,18
06037186100,2607,140,231,0,308,34,149,587,5,89,3,8
06037186201,1425,27,124,0,394,42,92,292,3,28,4,4
06037186202,872,34,74,0,186,25,70,169,2,23,1,7
06037186203,1359,73,121,0,108,7,83,277,3,54,3,5
06037186301,1488,41,153,1,1321,33,170,231,4,34,0,8
06037186302,3031,107,241,0,964,54,277,555,5,125,9,11
06037186401,1711,65,108,0,2283,81,218,238,5,49,3,12
06037186403,1482,32,136,0,657,25,166,272,1,32,0,7
06037186404,1273,48,109,1,508,29,106,184,2,19,0,4
06037187101,1924,91,143,0,622,51,105,311,6,36,10,42
06037187102,2477,118,148,0,994,119,155,348,17,80,2,32
06037187200,2016,70,189,0,1109,80,216,309,18,72,4,51
06037187300,1744,67,116,1,1277,124,218,407,15,84,3,4
06037188100,2223,117,165,0,1248,75,393,334,22,70,4,39
06037188201,1355,64,61,1,416,79,92,232,31,46,11,64
06037188202,816,52,71,0,32,15,43,199,7,31,2,20
06037188300,2082,106,191,0,594,36,107,419,6,51,2,39
06037189101,1401,40,62,3,432,53,140,229,1,34,14,9
06037189102,1345,42,70,0,131,13,77,225,1,19,7,17
06037189201,1414,49,85,2,482,78,176,165,4,34,2,10
06037189202,1285,63,81,1,139,21,61,245,48,40,4,85
06037189300,1152,103,80,1,181,34,76,365,33,69,12,72
06037189400,1561,63,99,1,48,3,71,401,90,66,9,185
06037189500,2219,40,135,0,276,86,206,349,32,59,5,65
06037189600,2307,65,139,2,614,537,685,432,104,126,7,186
06037189701,1243,77,99,1,222,59,181,328,17,68,13,43
06037189702,900,16,58,0,166,100,97,229,28,49,15,72
06037189800,1763,60,113,1,515,67,162,295,4,55,3,21
06037189902,2517,24,109,1,192,345,325,272,5,35,3,14
06037189903,530,7,20,0,25,3,31,45,0,4,0,0
06037189904,1027,9,30,0,145,159,98,139,4,24,2,10
06037189905,886,17,52,0,71,362,102,156,7,28,2,15
06037190100,2387,30,107,0,773,317,323,318,12,154,2,39
06037190201,898,14,21,1,479,200,161,83,9,29,6,30
06037190202,1253,7,42,0,272,117,96,194,19,35,4,19
06037190301,2106,40,115,1,679,437,318,248,14,70,2,16
06037190401,1236,6,60,0,455,25,102,101,1,25,4,6
06037190402,1160,7,63,0,504,21,140,110,0,28,0,1
06037190510,1761,38,82,0,2457,235,235,222,4,48,2,15
06037190520,1801,33,95,1,1981,98,215,171,2,26,2,16
06037190700,1538,30,76,4,1021,297,215,246,12,130,5,104
06037190801,1099,13,35,1,747,386,158,133,3,41,2,18
06037190802,1395,41,76,1,522,339,160,198,11,50,2,62
06037190901,2303,35,130,0,3603,181,402,230,13,60,7,28
06037190902,1921,14,94,0,1072,44,265,220,11,22,2,35
06037191000,1367,38,81,2,1260,675,217,184,19,62,4,51
06037191110,1667,41,115,1,3311,97,334,166,1,46,4,11
06037191120,3389,31,239,0,834,63,469,302,4,25,3,3
06037191201,1662,47,82,4,2290,181,332,182,13,64,3,44
06037191203,1501,42,78,0,1169,107,170,163,5,35,1,4
06037191204,1692,20,102,0,825,24,313,186,0,26,0,0
06037191301,1147,23,83,0,1601,155,234,130,2,38,3,32
06037191302,1025,28,65,1,1486,269,131,132,6,34,8,30
06037191410,2418,38,223,3,2598,253,472,269,4,36,4,48
06037191420,1523,24,88,0,1265,116,325,154,6,18,1,19
06037191500,3059,48,216,4,4449,264,599,336,8,42,6,17
06037191610,3120,51,217,2,3832,154,468,433,7,64,1,21
06037191620,1218,26,62,0,1466,96,211,131,2,19,0,1
06037191710,1532,34,112,0,1352,49,204,219,7,27,3,21
06037191720,1806,30,90,3,2050,50,227,257,12,36,2,9
06037191810,1729,33,96,0,1849,349,264,172,14,63,3,31
06037191820,1486,27,75,2,1405,689,228,142,0,60,9,31
06037191901,2185,33,101,0,1135,457,230,246,34,78,7,83
06037191902,1712,66,101,0,660,269,193,320,36,59,7,139
06037192001,1443,45,73,0,328,624,281,222,14,49,6,28
06037192002,1627,66,100,2,1057,106,212,322,11,84,7,63
06037192300,950,42,53,0,415,73,54,201,26,51,3,74
06037192410,1722,80,95,1,408,113,115,276,112,82,15,244
06037192420,1599,65,79,2,1611,141,293,173,4,40,3,16
06037192510,1814,29,95,0,1669,107,305,181,4,24,2,4
06037192520,2565,47,151,4,1115,18,328,237,14,28,0,2
06037192610,2383,45,87,2,1916,339,590,223,19,70,3,38
06037192620,1636,19,74,26,1322,226,394,151,15,78,0,24
06037192700,1629,49,90,14,1963,1053,396,192,38,63,3,42
06037194101,1086,37,83,3,138,14,91,225,4,65,8,12
06037194102,1140,67,124,0,118,5,86,348,14,50,12,64
06037194200,1558,75,127,2,165,31,125,433,83,141,17,233
06037194300,903,44,83,0,25,5,56,290,19,97,15,53
06037194401,1058,34,58,1,301,104,152,140,8,28,4,11
06037194402,1292,39,60,3,93,123,113,217,5,46,10,77
06037194500,1121,55,64,0,536,694,173,167,4,40,3,51
