tract2010,311-TEST SR,BCLB-Liquor License Complaint,BGE-C-Order Damage,BGE-C-Order Non-Damage,BGE-Cable Replacement,BGE-Contact Voltage,BGE-Duct Obstruction,BGE-Duplex,BGE-Extend Feed,BGE-Fixture-Arm,BGE-Manhole Work,BGE-No Feed,BGE-Red Tag,BGE-StLight Pole Installation,BGE-StLight(s) Out,BGE-StLight(s) Out Rear,BGE-StLighting Cable Faults,BPD-Light Towers (DNU),BPD-Miscellaneous Request,CC-Constituent Services Request,DPW-Calendar or Water Quality Report Request,DPW-MD Stormwater Participation Event,ECC-Citizen Complaint or Concern,ECC-Citizen Compliment or Praise,ECC-Community Pitch-In,ECC-Escalation,ECC-Grass Mowing,ECC-Information Request,ECC-Language Line,ECC-Miscellaneous Request,ECC-Salesforce 3-1-1 Issue,ECC-Supervisor Follow-Up,ECC-Vehicle Look Up,FCCS-City Dynamics Request,FCCS-Civil Citation Refund,FCCS-Correspondence Redirect,FCCS-Metered Water,FCCS-ORCC Reversals,FCCS-Other,FCCS-Paid Wrong Account/Misapplied Payment,FCCS-Parking Fines Refunds,FCCS-Payment Not Posted,FCCS-Personal Property Tax,FCCS-Property Tax Credits,FCCS-Refund Check Issues,FCCS-Refunds,FCCS-Tax Sale Voids,FCCS-Transfer Request from Another Account,FCDA-Suits,FCDA-Tax Sale,FCPF-Certified Mail,FCPF-Collection Agency,FCPF-Court Petitions,FCPF-Investigation Request,FCPF-Makes Differ,FCPF-Ombudsman Review,FCPF-Other,FCPF-Payments,FCPF-Stolen Vehicle/Tags,FCPF-Transfer of Liability,FCPF-Trial Request-Commercial Truck,FCPF-Trial Request-Parking,FCPF-Trial Request-Red Light,FCPF-Trial Request-Speed Citation,FCPF-VR119-Mail,FCPF-Vehicle Owner Death/Funeral Procession,FIN-City Motor Vehicle Accident,FINBAPS-Other,FINBAPS-Paid Wrong Account/Misapplied Payment,FINBAPS-Property Tax Credits,FINBAPS-Refunds,FIR-Fire Code Inspection Request,FIR-Fire Code Violation,FIR-Fire Smoke Alarm Installation Request,FIR-Fire Smoke Alarm Installation Request-Internal,FOR-Broken Branch in Tree,FOR-Down Tree,FOR-Fallen Limb,FOR-Stump Removal,FOR-Tree Inspection,HCD-Abandoned Vehicle,HCD-Animals,HCD-Bed Bugs,HCD-CCE Building Inspections,HCD-CCE Building Permit Complaint,HCD-CCE Demolition,HCD-Emergency Sewer Investigation,HCD-Fire Protection,HCD-Graffiti,HCD-Illegal Campaign Signs on Private Property,HCD-Illegal Dumping,HCD-Illegal Flyers,HCD-Illegal Signs on Public Property,HCD-Insects,HCD-Maintenance Structure,HCD-OECS-No Heat Referral,HCD-Overcrowding,HCD-Rental Licensing Referral,HCD-Rodents,HCD-Sanitation Property,HCD-Snow and Ice on Sidewalks,HCD-Systems,HCD-Trees and Shrubs,HCD-Unauthorized Vending,HCD-Vacant Building,HCD-Weatherization,HCD-Zoning Investigation,HLTH-Animal Aggressive Animal,HLTH-Animal Attack Against Animal,HLTH-Animal Attack Against Human,HLTH-Animal Barking Dog,HLTH-Animal Bite Pickup,"HLTH-Animal Dead Animal Pick Up, Death of a Pet (Tracking)",HLTH-Animal Dead Animal Pickup-Wildlife or Stray,HLTH-Animal Domestic Animal Trap or Capture Request,"HLTH-Animal Failure to Restrain Animal, Known Owner/Known Address",HLTH-Animal Healthy Unwanted Animals (Tracking),HLTH-Animal In Danger/Injured/Abused/Neglected,HLTH-Animal Inspection/Follow-up,HLTH-Animal Police/Fire/Sheriff/City Work Crew Standby,HLTH-Animal Running At Large/Stray (Tracking),HLTH-Animal Search and Seizure,HLTH-Animal Stray Held,HLTH-Animal Trapped In Vacant Building,HLTH-Animal Unsanitary Conditions,HLTH-Animal Wildlife Complaint,HLTH-EV Dust,HLTH-EV Institutional Facility,HLTH-EV Mosquito Surveillance,HLTH-EV Noise,HLTH-EV Odor,HLTH-EV Public Swimming Pool/Spa Complaint,HLTH-EV Report of Retail Sale of Illegal Synthetic Drugs,HLTH-EV Smoking Ban Violation,HLTH-EV Stagnant Water,HLTH-EV Tattoo Facility,HLTH-EV Waste Hauler,HLTH-Food Borne Illness Alleged,HLTH-Food Facility Complaint,HLTH-Pharmacy Resource Request,HLTH-Tobacco Enforcement Request,Legacy,MOHS-Homeless Outreach,MOIT-Address Validation Issue,MOIT-Open Baltimore,PABC-EZ Parking Meter Complaints,PABC-General Parking Request,PABC-Handicapped Parking Request,PABC-Parking Investigations,PABC-Single Space Meter Complaints,RP-Ball Field,RP-Building Maintenance,RP-Building Maintenance (INTERNAL),RP-Custodial Services,RP-Grass Cutting,RP-Park Maintenance,RP-Playgrounds,RP-Street Lighting Repairs,SW-Appliance (White Goods),SW-Appliance (White Goods) Special,SW-BCPSS Graffiti Removal,SW-Bag Pickup,SW-Boarding,SW-Bulk Scheduled,SW-Bulk Special,SW-Christmas Tree Removal,SW-Clean Up,SW-Clean Up (Mayor�s Fall Cleanup),SW-Clean Up (Mayor�s Spring Cleanup),SW-Cleaning,SW-Community Pitch-In,SW-Dirty Alley,SW-Dirty Alley Proactive,SW-Dirty Street,SW-Dirty Street Proactive,SW-Dumpster Collection,SW-Fire Debris Removal,SW-Graffiti Removal,SW-Graffiti Removal - Rec and Parks,SW-Graffiti Removal Proactive,SW-Graffiti Removal-Rec and Parks,SW-HGW,SW-Leaf Collection Scheduling,SW-Leaf Removal,SW-Mechanical Alley Sweeping,SW-Mechanical Street Sweeping,SW-Mixed Refuse,SW-Municipal Trash Can Concern,SW-Municipal Trash Can Stolen/Lost,SW-Park Cans,SW-Park Cleaning (DNU),SW-Public (Corner) Trash Can Issue,SW-Public (Corner) Trash Can Request/Removal,SW-RP Bulk Pickup,SW-Rat Rubout,SW-Rat Rubout Alley Concern,SW-Rat Rubout Alley Concern (SW creation only),SW-Rat Rubout Follow-up,SW-Rat Rubout Proactive,SW-Recycling,SW-SIU Clean Up,SW-Summer Lunch Program - Missed Pickup,SW-Trash Can/Recycling Container Complaint,SW-Volunteer Clean-Up Event,SW-Water Way Cleaning,TEC-Alley Contract/Reconstruction,TEC-Alley Reconstruction Complaint,TEC-Footways Complaint,TEC-Footways Contract/Reconstruction,TEC-Street Repair (Misc),TEC-WO Street Markings,TR-Escalation,TR-Right-Of-Way Permit,TR-Sign Issue,TR-Street and Mobile Vendor Licensing Complaints,TR-Youth Snow Program Complaint,TR-Youth Snow Program Resident Registration,TR-Youth Snow Program Student Application Request,TRA-Ombudsman Review,TRA-Red Light/Speed/Truck Camera,TRC-Conduit Investigation,TRC-Conduit Repair,TRD-Claims Administration Request,TRD-Council Administration Request,TRD-General Administration Request,TRD-Mayor Administration Request,TRM-(Handicap) Sidewalk Ramp Concern (Repair),TRM-Alleys,TRM-Barricades-Install,TRM-Barricades-Removal,TRM-Bench Concern,TRM-Bridge Concern,TRM-Curb Repair,TRM-Debris Hanging From Wires or Poles,TRM-Debris In Roadway,TRM-Fence Concern (Repair),TRM-Footways Repair,TRM-Graffiti Referral,TRM-Grass Mowing,TRM-Guardrail Concern (Repair),TRM-Illegal Sign Removal,TRM-Major Street Repairs (In-House),TRM-Pickup Pothole,TRM-Potholes,TRM-STLight Pole Missing,TRM-Saltbox Concern,TRM-Saltbox Refill,TRM-Sign Damaged,TRM-Sign Damaged (Do not use),TRM-Sign Damaged/Sign Structure,TRM-Sign Structure Damaged (Do not use),TRM-Snow/Icy Conditions,TRM-StLight Damaged/Knocked Down/Rusted,TRM-StLight Pole Access Cover/Plate Missing,TRM-StLight Pole Missing,TRM-StLight Pole Pickup,TRM-StLighting Inadequate/Too Bright,TRM-Steel Plate Complaint,TRM-Steel Plate Repair,TRM-Street Cut Issues,TRM-Street Cut Notification,TRM-Street Light Out,TRM-Street Repairs,TRM-Street and Crosswalk Markings,TRM-WO Sign Installation,TRM-WO Sign Removal,TRM-WO Street and Crosswalk Markings,TRS-48 Hour Parking Complaint,TRS-48 Hour Parking Complaint (DNU),TRS-48 Hour Parking/Abandoned Vehicle,TRS-Abandoned Vehicle,TRS-Abandoned Vehicle(DNU),TRS-Parking Away Notification,TRS-Parking Complaint,TRT-All Way Stop,TRT-Angled Parking Request,TRT-Crosswalks,TRT-New Stop Sign,TRT-New Traffic Sign,TRT-New Traffic Signal,TRT-One Way Conversion,TRT-Safety Concern (Revised-DNU),TRT-School Zone,TRT-Sign Faded/Missing/Remove/Change,TRT-Sign Faded/Missing/Remove/Change/New,TRT-Sign New,TRT-Signal Temp Stop Sign Removal (DNU),TRT-Signal Timing,TRT-Traffic Calming,TRT-Traffic Sign Request,TRT-Traffic Signal Repairs,TRT-Traffic Study (DNU),TRT-Truck Study,TTR-Abandoned Vehicle Turn-in Program,TTR-Snow Abandoned Vehicle Relocate,TTR-Vehicle Relocation,TTR-Vehicle Removal,WW-Contractor Issues,WW-Customer Inquiries,WW-Hydrant Damaged,WW-Hydrant Leaking,WW-Hydrant Open,WW-MD Stormwater Participation Event,WW-Sediment or Erosion Problem,WW-Sewer Misc Investigation,WW-Sewer Overflow,WW-Sewer Water In Basement,WW-Storm Damaged Inlet,WW-Storm Flooded Street,WW-Storm Inlet Choke,WW-Storm Misc Investigation,WW-Storm Water In Basement,WW-Surface Repair,WW-Water Discolored,WW-Water Leak (Exterior),WW-Water Low Pressure,WW-Water Meter Cover Missing or Damaged,WW-Water Meter Leak,WW-Water No Water,WW-Water Noise In Pipe,WW-Water Odor/Bad Taste,WW-Water Rip Rap,WW-Water Turn Off (Request),WW-Water Turn Off Seasonal,WW-Water Turn On (Request),WW-Water Turn On Seasonal,WW-Water Water In Basement,WW-Waterway Pollution Investigation
24510010100,0,93,0,1,0,0,0,0,0,0,0,0,0,30,271,35,7,0,1,0,1,0,59,4,0,45,1,9,0,96,0,1,102,0,0,0,0,0,7,5,2,8,1,0,2,19,0,2,0,1,1,0,0,0,0,0,2,1,0,0,0,11,0,0,3,0,8,0,0,0,0,27,0,41,0,4,39,86,5,191,6,1,1,9,85,0,1,2,0,1,65,4,6,13,36,1,1,0,24,480,5,6,4,0,15,1,8,3,1,6,34,2,0,39,0,3,0,39,35,2,0,1,0,4,12,10,3,0,0,20,1,1,0,3,1,9,0,1,38,0,0,0,1,3,0,0,7,7,0,0,0,9,0,0,7,24,9,8,98,2,0,3,19,1314,60,5,2,0,0,28,0,239,27,164,32,2,0,39,0,7,3,28,2,0,0,1,244,206,58,4,11,12,2,0,32,1,0,0,1890,161,3,0,7,0,0,0,0,75,68,0,0,0,19,0,0,0,0,0,0,0,3,2,0,0,0,0,1,7,30,32,0,0,23,4,3,0,34,3,13,2,23,0,39,134,0,0,0,24,0,20,0,18,17,5,0,0,6,8,0,3,0,4,47,8,19,0,3,202,0,94,169,2,88,1194,0,1,6,0,0,0,0,0,0,32,3,14,0,2,2,1,65,3,0,0,0,21,22,1,9,0,4,11,0,6,25,7,21,5,33,24,2,3,27,35,232,21,9,21,54,0,5,5,5,0,2,0,46,4
24510010200,0,5,0,0,0,0,0,0,0,0,0,0,0,8,106,24,4,0,0,0,1,0,61,5,2,31,4,6,1,105,0,1,45,0,0,0,0,1,1,1,1,2,0,1,0,18,0,3,0,3,3,0,0,1,7,0,2,1,0,0,0,9,0,0,0,0,3,0,0,0,0,8,1,64,0,6,50,42,5,167,3,3,3,7,99,0,0,2,0,0,92,11,7,6,48,0,3,0,14,400,2,4,13,0,42,3,7,8,2,2,24,0,0,17,0,8,0,53,42,4,4,0,9,4,16,4,1,1,0,9,3,0,0,0,2,0,0,0,8,0,0,0,2,0,2,0,4,6,0,0,0,1,0,0,12,46,2,5,117,7,0,2,37,1242,42,5,2,1,2,43,12,376,11,134,40,0,0,55,0,25,3,12,1,0,0,9,217,182,49,10,19,95,6,0,29,0,0,0,2735,115,2,0,17,0,0,0,2,65,80,2,2,0,17,0,3,0,4,1,0,0,2,2,0,0,0,0,4,11,15,21,5,0,11,0,6,0,21,2,7,0,42,0,14,87,0,0,1,20,0,21,0,4,22,12,1,1,4,1,0,3,0,82,24,11,19,0,6,209,0,103,219,1,82,1127,1,1,7,0,0,2,0,0,0,61,5,11,0,5,3,0,65,3,0,0,0,8,28,0,7,2,5,2,0,8,27,12,61,14,23,20,6,2,18,40,168,10,12,29,49,0,3,2,6,0,4,1,52,4
24510010300,0,36,0,0,0,0,0,0,0,0,0,0,0,7,155,23,1,1,0,0,5,0,52,6,0,45,2,15,0,118,1,1,27,0,0,0,1,0,1,3,1,1,0,0,2,7,1,1,0,2,0,0,0,0,7,0,1,3,0,0,0,10,1,0,1,0,4,0,0,0,0,10,1,35,0,9,53,100,0,213,1,2,0,17,96,0,1,0,2,0,67,3,7,4,56,0,1,0,12,470,2,11,11,0,16,0,4,48,3,3,24,1,0,27,0,40,0,27,78,3,10,0,5,4,8,16,2,0,0,11,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,8,4,0,0,2,68,0,2,28,136,22,28,106,3,0,1,53,1031,26,0,0,1,0,81,0,155,7,225,22,0,1,65,1,53,29,44,3,0,0,3,140,203,37,14,26,65,4,0,9,0,0,0,1270,110,1,0,0,0,0,1,5,52,123,1,1,0,17,0,4,0,3,0,0,2,4,3,0,0,0,0,2,16,28,32,5,0,10,2,8,0,22,1,21,0,54,0,21,125,1,1,0,37,0,25,0,12,6,0,1,0,2,3,0,5,0,12,29,24,20,0,6,107,0,77,160,0,89,1619,2,2,7,0,0,5,0,0,0,90,14,17,0,8,3,3,46,4,0,0,0,67,18,0,5,2,2,9,0,6,24,7,42,11,26,37,8,0,16,41,203,15,10,29,74,0,0,2,10,0,2,0,14,4
24510010400,0,21,0,0,0,0,0,1,0,0,0,0,0,3,126,19,3,0,1,0,0,1,37,3,0,26,1,6,0,71,0,2,85,0,0,0,0,0,1,1,0,7,0,0,0,17,1,0,0,0,0,0,0,0,5,0,1,1,1,0,0,2,1,0,1,0,9,0,0,0,0,46,2,30,0,5,31,41,2,106,9,0,4,25,65,0,0,6,1,0,58,4,4,2,76,0,10,0,17,506,9,9,7,0,36,0,24,2,1,0,16,2,0,18,0,5,0,37,31,3,2,0,5,0,11,6,0,0,0,5,0,0,0,0,0,4,0,5,29,0,0,0,3,1,1,0,7,3,0,1,0,0,0,0,5,12,0,3,62,0,0,2,31,701,23,1,0,0,1,45,0,120,4,217,16,7,0,94,0,63,5,31,0,0,0,0,99,126,42,6,3,50,1,0,3,0,0,0,397,75,3,0,5,0,4,1,1,79,32,1,0,0,18,0,0,0,5,0,1,10,3,2,1,0,0,0,2,3,11,11,2,0,6,2,3,0,32,0,24,0,46,0,42,123,0,0,0,21,1,16,0,11,1,1,0,0,3,4,0,0,0,6,15,10,14,0,3,157,1,89,150,0,47,1580,0,0,11,0,1,0,0,0,0,34,5,18,0,4,5,0,43,3,0,0,0,37,12,1,3,0,10,8,0,3,17,11,16,11,18,24,4,1,16,31,127,8,23,17,37,0,0,0,6,0,4,0,15,30
24510010500,0,17,0,0,0,0,0,0,0,0,0,0,0,4,120,20,1,1,2,0,5,0,50,3,1,29,2,7,1,110,0,1,23,0,0,0,1,0,1,2,1,4,1,0,0,14,1,0,0,1,1,0,0,0,4,1,0,2,0,0,0,10,0,2,2,0,0,0,0,0,0,11,0,32,1,2,21,24,6,65,7,2,3,6,77,0,4,1,3,0,74,6,5,6,53,0,3,0,5,475,16,6,6,0,38,2,9,10,2,1,21,1,1,12,0,55,0,13,75,2,0,0,3,2,13,5,0,1,0,13,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,9,0,3,83,3,1,3,12,586,11,2,0,2,0,12,10,101,4,254,17,0,0,37,0,25,8,22,1,0,0,5,137,171,36,3,8,2,1,0,0,0,0,0,727,117,2,0,4,0,0,0,0,39,64,0,0,2,4,0,0,0,1,0,1,0,1,1,0,0,0,0,0,5,5,8,0,0,7,4,3,0,15,1,8,0,18,0,8,60,0,7,4,13,0,12,0,19,2,2,1,0,8,0,0,3,0,1,33,5,15,0,3,209,2,154,311,0,57,3057,0,2,2,0,0,1,0,0,0,36,5,8,0,0,2,1,18,6,0,0,0,15,25,0,9,2,2,3,0,3,11,14,22,7,15,7,1,0,16,12,133,24,9,15,46,0,3,3,3,0,2,0,20,6
24510020100,1,6,0,0,0,0,0,0,0,0,0,0,0,6,152,19,2,0,1,0,0,0,40,4,0,23,2,3,0,77,0,2,13,0,0,0,0,0,1,2,1,2,0,0,4,15,0,1,0,3,1,0,0,0,5,0,1,1,0,0,0,18,1,1,1,0,2,0,0,0,0,23,0,24,0,4,22,57,4,91,6,0,0,10,71,0,0,1,0,0,83,13,3,3,34,0,0,0,13,1185,4,8,10,0,45,0,8,8,3,2,8,1,0,10,0,0,0,15,17,2,3,0,4,1,10,5,0,0,0,8,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,7,0,0,2,0,0,0,0,0,1,0,0,90,3,1,2,12,695,15,1,0,1,1,10,2,86,4,260,13,1,2,65,0,34,0,21,5,0,0,7,60,257,37,0,2,10,5,0,10,0,0,0,1249,90,6,0,8,0,0,0,0,32,39,4,1,0,10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,6,8,1,0,8,2,6,0,19,1,14,0,14,0,26,92,0,4,0,7,0,8,0,37,4,2,0,0,9,7,0,1,0,14,24,3,20,1,3,179,0,70,142,0,47,1899,0,0,6,0,0,9,0,2,0,22,4,12,0,10,2,3,81,25,0,0,0,8,18,0,5,0,4,1,0,0,17,10,16,1,18,11,2,4,17,5,136,12,17,22,53,0,1,2,10,0,0,0,28,3
24510020200,0,30,0,0,0,0,0,0,0,0,0,0,0,11,140,19,4,0,0,0,2,0,34,7,1,28,1,6,0,140,0,3,26,0,0,0,0,1,1,6,0,5,2,0,1,8,2,1,0,3,1,1,0,0,0,1,1,2,0,0,0,13,1,0,1,0,5,0,0,0,0,45,5,53,1,4,25,47,3,126,10,0,0,11,71,0,0,1,1,0,188,3,8,1,54,0,6,0,16,2193,0,13,9,0,39,0,23,5,1,3,9,2,1,16,0,1,0,10,23,1,0,0,4,1,0,7,1,0,0,11,4,0,0,1,0,0,0,0,20,0,0,0,0,0,3,8,4,2,0,0,0,0,0,0,1,2,1,1,74,2,0,6,20,549,10,0,4,3,0,14,9,137,7,505,42,2,1,105,1,49,3,33,2,0,0,2,21,178,19,3,2,91,12,1,7,0,0,1,1562,37,6,0,3,0,0,1,2,39,11,1,2,1,22,0,1,0,0,5,1,2,6,6,0,0,0,0,1,5,4,6,5,0,7,3,5,0,14,2,6,0,37,0,20,71,0,0,0,18,0,16,0,10,4,0,0,1,9,2,0,4,0,5,23,3,12,2,3,307,0,120,238,0,34,1745,1,0,2,0,5,0,0,0,0,25,3,8,0,1,0,0,39,6,0,0,0,10,24,1,7,1,0,1,0,5,32,18,29,8,20,16,6,0,19,7,97,3,5,19,41,0,1,1,6,0,0,0,27,1
24510020300,0,63,0,1,0,0,0,0,0,0,0,1,0,23,320,45,8,0,4,0,2,0,58,9,2,51,4,10,0,176,0,1,341,5,0,0,0,0,8,9,7,9,2,2,0,26,3,2,0,5,0,0,0,2,30,0,4,7,2,0,0,24,2,0,9,0,15,0,0,0,0,252,4,31,0,3,15,41,2,167,13,1,11,23,125,0,1,10,8,0,92,1,10,0,56,0,2,0,16,623,3,15,9,0,28,0,35,3,1,1,4,2,0,32,0,6,0,49,39,10,1,0,4,1,2,30,5,1,0,58,1,0,0,1,1,1,0,3,68,0,0,0,5,2,2,150,16,0,0,13,0,41,0,0,3,17,1,7,50,2,2,4,6,616,13,2,0,5,1,13,10,73,0,311,19,8,1,422,0,197,9,32,2,0,0,5,126,179,44,0,2,113,12,2,6,0,0,0,937,96,6,0,3,0,12,1,3,103,85,10,0,0,38,0,5,0,0,0,0,5,9,7,0,0,0,0,4,5,10,11,4,5,32,2,8,1,36,9,10,3,92,0,49,195,0,1,0,34,0,24,0,26,53,11,2,1,16,7,0,1,0,51,73,12,26,0,0,121,0,91,127,0,18,2034,2,0,10,0,2,0,0,0,0,61,13,20,0,3,1,4,205,9,0,0,0,20,13,0,10,1,13,8,0,10,46,18,82,10,32,36,12,0,31,49,244,8,24,32,78,0,5,5,6,0,5,0,33,27
24510030100,0,63,1,0,0,0,0,0,0,0,0,0,0,21,219,62,5,0,0,0,0,0,20,6,2,16,1,3,2,24,0,0,104,0,0,0,0,0,0,3,0,4,0,2,0,11,1,0,0,5,0,0,0,2,9,0,0,2,1,0,0,13,2,1,1,0,7,0,0,0,0,43,2,14,0,3,13,16,0,30,30,1,1,0,24,0,5,0,1,0,118,1,1,3,41,1,0,0,15,247,0,11,10,0,54,0,9,12,2,1,6,0,0,24,2,1,0,39,13,4,0,0,12,5,0,9,1,1,0,6,0,2,0,0,0,0,0,0,16,0,1,0,1,1,0,32,2,1,1,2,0,10,0,0,2,18,1,1,18,1,2,7,42,233,6,0,9,6,3,99,12,99,10,326,53,5,4,189,0,191,0,171,5,1,0,1,76,87,29,2,5,121,9,0,24,0,0,0,7395,42,7,0,1,1,0,0,0,34,21,1,0,0,1,0,1,0,0,16,0,2,11,11,0,0,0,0,2,4,7,7,13,0,7,2,0,1,15,1,11,0,49,0,51,73,0,0,0,21,0,8,0,21,20,2,0,0,5,5,2,2,0,9,11,0,8,0,1,79,0,96,160,2,0,528,1,0,1,0,0,3,0,0,1,26,3,12,0,3,2,0,127,6,0,3,0,3,74,0,4,6,2,7,0,0,21,8,24,7,11,31,4,1,4,11,93,5,10,16,47,0,1,2,18,0,0,0,17,0
24510030200,3,18,0,0,0,0,0,0,0,0,0,0,0,31,319,64,4,0,1,0,4,1,104,1,3,44,0,11,2,104,0,2,138,0,0,0,0,2,6,7,3,5,1,1,0,16,2,5,0,4,0,0,0,0,23,1,1,14,2,2,0,17,5,2,12,1,12,0,0,0,0,188,1,17,0,2,15,20,3,77,28,0,4,7,56,0,0,1,1,0,29,3,11,2,31,0,3,0,21,170,5,2,1,0,21,0,10,10,2,1,2,1,0,12,1,1,0,30,12,4,1,1,5,1,2,26,0,1,0,25,2,0,0,0,1,0,3,6,46,0,0,0,1,2,1,128,4,1,0,21,0,0,0,0,3,12,0,7,27,3,6,0,8,239,9,2,1,3,1,28,7,49,2,178,28,3,0,244,0,184,5,81,0,0,0,0,90,69,30,0,7,130,13,0,20,0,0,0,3854,62,1,0,2,0,0,0,1,57,19,8,0,0,12,0,0,0,2,36,0,4,8,6,0,0,0,0,4,4,17,20,10,3,13,0,25,4,16,1,4,1,15,0,38,193,0,0,0,63,0,26,0,6,33,9,4,0,4,7,1,0,0,33,48,17,31,0,2,43,0,39,60,0,4,2275,0,0,3,0,0,1,0,0,0,67,9,20,0,35,5,4,170,5,0,4,0,4,31,3,14,4,9,18,0,2,53,3,33,21,20,14,11,1,14,15,104,13,15,27,40,0,5,1,8,0,4,0,34,2
