FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
36081115700,19.0,5.8,24571.0,15.6,18.7,18.8,9.4,2.8,80.2,33.4,41.6,0.8,8.5,40.3,0.0,0.6809,0.39399999999999996,0.5649,0.6736,0.7508,0.2442,0.2698,0.0968,0.8558,0.9915,0.9228,0.5085,0.8928,0.9619,0.0,19.6
36081115900,20.7,8.3,21394.0,21.7,11.3,17.0,9.0,2.9,93.4,39.9,48.0,0.0,6.0,37.2,0.1,0.72,0.6337,0.6926,0.8103,0.3047,0.1654,0.2407,0.1007,0.9306,0.9964,0.9403,0.0,0.8301,0.9554,0.4131,30.0
36081116100,19.4,7.8,21000.0,31.8,22.1,10.7,6.0,2.0,92.7,47.4,82.9,0.0,13.3,42.7,11.0,0.6906,0.5936,0.7089,0.9267,0.8756,0.0475,0.0685,0.062,0.9266,0.9987,0.9849,0.0,0.946,0.9661,0.9514,34.5
36081116300,33.8,5.8,17561.0,37.2,18.7,11.1,6.7,5.0,92.2,52.6,65.5,0.0,19.0,66.2,7.4,0.9011,0.39399999999999996,0.83,0.9549,0.7508,0.0515,0.0998,0.2521,0.9229,0.9995,0.9686,0.0,0.9752,0.9902,0.932,32.9
36081116700,33.7,9.2,16177.0,32.8,8.8,15.3,8.8,7.7,90.7,38.4,17.0,0.0,13.6,39.7,0.3,0.9003,0.6976,0.8690000000000001,0.9328,0.174,0.1143,0.2257,0.462,0.9139,0.9956,0.7663,0.0,0.9486,0.9607,0.5164,38.5
36081117100,21.1,5.0,25710.0,17.7,15.5,16.7,8.7,8.1,72.8,22.3,37.3,0.0,8.1,42.0,1.2,0.7285,0.3048,0.52,0.7286,0.5647,0.1554,0.2194,0.4935,0.8185,0.9620000000000001,0.9085,0.0,0.8844,0.9647,0.7179,26.6
36081117500,5.4,4.7,32028.0,17.2,18.6,15.6,5.8,2.3,66.3,19.3,26.8,0.0,2.3,25.8,0.2,0.1706,0.271,0.3185,0.7158,0.7462,0.1208,0.061,0.0721,0.7863,0.9478,0.8558,0.0,0.5679,0.9179,0.4477,17.8
36081118100,15.6,4.4,31843.0,12.9,12.3,17.4,8.8,5.6,56.5,16.1,0.8,0.0,6.3,16.7,0.0,0.5891,0.2382,0.3229,0.5848,0.3645,0.1826,0.2257,0.2999,0.7323,0.9285,0.2961,0.0,0.8401,0.8461,0.0,12.5
36081118500,19.6,6.7,21963.0,28.2,11.4,18.0,6.8,12.2,87.0,37.1,28.1,0.0,11.6,36.3,0.0,0.6952,0.491,0.6701,0.8976,0.3103,0.2083,0.1047,0.7293,0.8916,0.9948,0.8642,0.0,0.9322,0.9531,0.0,31.6
36081118700,15.9,9.3,22632.0,30.6,15.7,18.4,7.7,2.8,87.6,36.7,28.8,0.0,11.2,37.0,0.5,0.5982,0.7043,0.6422,0.9179,0.5773,0.22399999999999998,0.1548,0.0962,0.8954,0.9945,0.868,0.0,0.9284,0.9549,0.5908,28.4
36081118900,13.9,5.6,25158.0,25.2,19.8,13.0,8.3,4.8,88.9,29.3,1.5,0.0,8.4,17.0,0.0,0.5332,0.3714,0.5416,0.8639,0.8006,0.0726,0.1924,0.233,0.903,0.9843,0.3502,0.0,0.8911,0.85,0.0,22.6
36081119100,15.4,3.4,22450.0,19.3,5.7,18.6,4.4,3.3,93.7,35.8,12.4,0.0,10.0,28.4,0.0,0.5829,0.1372,0.6501,0.7651,0.0568,0.2348,0.0231,0.126,0.9334,0.9937,0.6984,0.0,0.9141,0.9292,0.0,37.4
36081119300,13.6,8.1,21784.0,21.6,14.0,19.4,4.4,0.7,84.4,29.9,11.4,0.7,8.7,24.7,0.0,0.5226,0.6182,0.6774,0.8082,0.4696,0.2808,0.0231,0.0218,0.8776,0.9857,0.6798,0.4931,0.8961,0.9117,0.0,24.3
36081119500,3.4,10.5,33583.0,17.7,14.5,16.3,9.5,7.4,65.3,18.7,0.0,2.8,6.7,13.8,0.4,0.0795,0.7708,0.2817,0.7286,0.5022,0.1409,0.2773,0.4418,0.7804,0.9443,0.0,0.6391,0.8506,0.8023,0.5686,13.9
36081119900,16.5,7.4,26863.0,20.4,15.7,14.0,8.0,1.1,80.9,33.7,0.0,0.0,0.0,23.6,0.5,0.616,0.5591,0.4777,0.7864,0.5773,0.0879,0.1729,0.0291,0.8590000000000001,0.9918,0.0,0.0,0.0,0.9052,0.5939,26.1
36081120100,13.9,3.6,21332.0,32.0,9.5,15.8,6.3,7.1,86.2,33.9,7.4,2.9,18.3,22.6,0.6,0.5332,0.1552,0.6951,0.9282,0.2079,0.1263,0.0807,0.4191,0.887,0.9919,0.5936,0.6426,0.973,0.899,0.6346,25.6
36081120300,13.4,5.7,23186.0,24.5,18.6,17.9,5.6,6.4,80.2,32.3,1.6,0.0,9.8,10.9,0.0,0.5153,0.3825,0.62,0.8548,0.7462,0.2022,0.054000000000000006,0.3605,0.8559,0.9899,0.3615,0.0,0.9121,0.7378,0.0,17.9
36081120500,26.2,9.5,14594.0,38.2,28.4,9.6,15.8,1.9,96.3,45.7,37.2,0.0,7.3,49.8,1.0,0.8169,0.7167,0.9081,0.9591,0.9592,0.0398,0.7095,0.0575,0.9553,0.9983,0.9079999999999999,0.0,0.8671,0.9761,0.6894,21.9
36081120700,7.2,2.9,28712.0,14.6,17.4,17.1,6.8,5.1,70.7,15.5,3.1,0.0,3.8,6.1,0.4,0.2554,0.0962,0.4135,0.6434,0.6816,0.1692,0.1047,0.26,0.8086,0.9239,0.4455,0.0,0.7172,0.5386,0.5763,11.6
36081121500,16.8,6.1,23900.0,26.7,14.7,22.7,5.2,3.8,87.2,28.6,0.0,0.0,15.8,11.2,0.0,0.6243,0.4271,0.5916,0.8817,0.5143,0.5123,0.0409,0.1575,0.8931,0.9824,0.0,0.0,0.9624,0.7457,0.0,10.7
36081122300,13.2,9.6,28099.0,18.3,10.6,20.5,6.0,2.3,62.1,15.8,5.1,0.0,1.7,14.3,0.0,0.5082,0.7225,0.4343,0.7429,0.2649,0.3493,0.0685,0.07400000000000001,0.7634,0.9261,0.5234,0.0,0.4697,0.8113,0.0,9.8
36081122701,12.7,12.1,31389.0,11.5,11.6,21.9,9.4,8.0,70.1,17.0,62.6,0.0,8.6,23.0,0.3,0.4906,0.838,0.3347,0.5311,0.3215,0.4534,0.2698,0.4878,0.8054,0.9341,0.9649,0.0,0.8945,0.9018,0.5454,9.9
36081122702,37.1,17.0,15692.0,23.0,12.8,26.8,13.6,24.9,76.7,13.8,61.0,0.0,8.3,54.9,0.0,0.9259,0.9384,0.8813,0.8321,0.3954,0.7706,0.5760000000000001,0.97,0.838,0.9093,0.9622,0.0,0.8886,0.9818,0.0,7.9
36081124100,14.7,12.6,32498.0,11.8,17.4,20.1,8.7,0.5,66.2,15.1,0.0,0.0,5.1,14.4,0.2,0.5598,0.8538,0.307,0.5432,0.6816,0.326,0.2194,0.0176,0.7854,0.9207,0.0,0.0,0.7937,0.813,0.4547,5.1
36081124700,14.2,7.4,33221.0,7.7,21.1,18.8,6.8,1.6,42.4,10.8,0.0,0.0,4.0,6.7,0.5,0.5435,0.5591,0.2894,0.353,0.8475,0.2474,0.1047,0.0454,0.636,0.8781,0.0,0.0,0.7326,0.5735,0.5891,2.2
36081125700,21.2,9.4,25247.0,14.2,9.5,25.8,7.3,4.6,75.8,16.0,18.7,0.5,18.0,16.6,4.2,0.731,0.7104,0.5382,0.6307,0.2079,0.7232,0.1315,0.2165,0.8334,0.9276,0.7862,0.4503,0.972,0.8451,0.8853,5.5
36081126500,17.6,13.0,27776.0,15.0,17.3,17.1,11.9,5.7,66.4,10.1,19.4,0.0,4.2,30.5,0.0,0.6465,0.8643,0.4451,0.6561,0.6757,0.1699,0.4561,0.3033,0.7867,0.8688,0.7937,0.0,0.7436,0.9371,0.0,5.9
36081126700,15.2,15.1,14264.0,22.6,6.8,12.5,5.6,4.8,67.5,9.0,0.9,0.0,3.8,19.7,48.4,0.5760000000000001,0.9112,0.9157,0.8259,0.0897,0.0661,0.054000000000000006,0.2369,0.7926,0.8523,0.3066,0.0,0.7175,0.878,0.9894,5.9
36081127700,6.8,4.0,42854.0,7.7,18.7,31.1,6.5,1.8,22.2,3.9,2.4,0.8,2.8,9.4,1.2,0.2367,0.195,0.1381,0.353,0.7508,0.9173,0.0902,0.0539,0.4216,0.7114,0.4107,0.5085,0.6244,0.6917,0.7117,3.8
36081128300,0.0,0.0,53547.0,8.5,44.7,0.0,17.0,0.0,17.0,0.0,73.5,0.0,0.0,23.5,0.0,0.0,0.0,0.0645,0.39399999999999996,0.991,0.0,0.7696,0.0,0.3426,0.0,0.977,0.0,0.0,0.9046,0.0,0.0
36081129102,6.8,6.3,56995.0,8.7,16.4,25.3,6.5,4.0,41.6,9.0,18.8,0.0,0.7,2.9,0.2,0.2367,0.4492,0.0524,0.4039,0.6219,0.6890000000000001,0.0902,0.1732,0.6293,0.8527,0.787,0.0,0.2801,0.2769,0.4906,3.3
36081129103,11.0,8.6,39933.0,6.1,22.8,19.0,12.6,4.1,37.6,9.1,81.6,0.0,2.0,15.0,0.0,0.4242,0.6558,0.171,0.2656,0.8921,0.2591,0.5064,0.1839,0.5943,0.8543,0.9836,0.0,0.5292,0.8226,0.0,8.6
36081129104,3.8,3.8,47969.0,10.0,18.3,16.5,6.9,4.2,58.0,9.5,10.8,0.0,3.6,7.7,0.2,0.0958,0.1746,0.0945,0.4656,0.7303,0.1477,0.11,0.191,0.7412,0.8605,0.6681,0.0,0.6986,0.6239,0.5005,4.0
36081130100,6.4,4.1,30265.0,8.4,17.6,18.2,11.2,2.8,68.8,2.6,8.6,0.0,2.9,15.1,0.0,0.2179,0.2054,0.3654,0.3887,0.6929,0.2166,0.4042,0.0975,0.799,0.6339,0.622,0.0,0.633,0.8243,0.0,5.6
36081133300,9.7,7.0,41163.0,11.9,20.3,17.5,11.3,6.4,46.8,9.0,2.0,0.0,2.2,9.5,0.4,0.3687,0.5215,0.1566,0.547,0.8201,0.1835,0.41200000000000003,0.3606,0.6697,0.8524,0.3861,0.0,0.5444,0.6953,0.5785,4.5
36081133900,8.9,10.4,36027.0,10.5,20.6,18.7,7.7,6.8,43.6,8.1,0.0,0.0,2.3,8.3,0.5,0.3335,0.7656,0.2312,0.4883,0.8313,0.243,0.1548,0.3912,0.6453,0.8374,0.0,0.0,0.5582,0.6503,0.607,10.4
36081134100,12.7,8.0,29949.0,13.3,14.6,19.4,7.8,3.4,72.6,21.3,2.9,0.0,7.0,9.3,0.0,0.4906,0.6098,0.3741,0.5995,0.5083,0.2792,0.1607,0.1303,0.8178,0.958,0.4357,0.0,0.8601,0.6882,0.0,12.7
36081134700,15.0,9.1,28470.0,9.8,13.4,18.0,6.6,3.9,77.3,17.6,30.6,0.0,8.1,18.3,0.1,0.5696,0.6907,0.4212,0.4563,0.4315,0.2062,0.0949,0.1648,0.8415,0.9384,0.8777,0.0,0.8846,0.8645,0.4045,13.2
