tract_id,AC_LAND,AC_TOT,AC_UNPR,AC_WATER,AUTOOWN0,AUTOOWN1,AUTOOWN2P,COUNTHU10,E5_ENT10,E5_IND10,E5_OFF10,E5_RET10,E5_SVC10,E8_ED10,E8_ENT10,E8_HLTH10,E8_IND10,E8_OFF10,E8_PUB10,E8_RET10,E8_SVC10,EMPTOT,E_HIWAGEWK,E_LOWWAGEW,E_MEDWAGEW,HH,R_HIWAGEWK,R_LOWWAGEWK,R_MEDWAGEWK,TOTPOP10,WORKERS,CBSA_EMP,CBSA_POP,CBSA_WRK,D2b_E5Mix,D2b_E5MixA,D2b_E8Mix,D2b_E8MixA,D2a_EpHHm,D2c_TrpMx1,D2c_TrpMx2,D2c_TripEq,D2r_JobPop,D2r_WrkEmp,D2a_WrkEmp,D2c_WrEmIx,P_WRKAGE,PCT_AO0,PCT_AO1,PCT_AO2P,R_PCTLOWWAGE,E_PCTLOWWA,D1A,D1B,D1C,D1C5_Ret10,D1C5_Off10,D1C5_Ind10,D1C5_Svc10,D1C5_Ent10,D1C8_Ret10,D1C8_Off10,D1C8_Ind10,D1C8_Svc10,D1C8_Ent10,D1C8_Ed10,D1C8_Hlth10,D1C8_Pub10,D1D,D2A_JPHH,D3a,D3aao,D3amm,D3apo,D3b,D3bao,D3bmm3,D3bmm4,D3bpo3,D3bpo4,D4b025,D4b050,D4d,D5ar,D5ae,D5br,D5be,D5cr,D5cri,D5ce,D5cei,D5dr,D5dri,D5de,D5dei,WalkIndex
24510010100,99.01648521419999,133.8339360046,99.01649859999999,34.81,185.0,750.0,788.0,1728.0,319.0,83.0,29.0,41.0,373.0,30.0,319.0,214.0,83.0,28.0,1.0,41.0,129.0,845.0,204.0,279.0,362.0,1530.0,1006.0,209.0,369.0,3022.0,1584.0,1212755.9999999998,2710489.0,1232874.0,0.7575307680460532,0.7575307680460532,0.7774338967774453,0.7774338967774453,0.605402212278147,0.6689847603361997,0.7315070154765348,0.6953471571442225,0.4370312904059994,0.6957595718402635,1.8745562130177515,0.4170470586721469,0.9354660059563203,0.10812206018518518,0.43493030671296296,0.4569342476851852,0.13194026515151516,0.32643786982248524,17.45163897092177,30.520169131347807,8.533935276163158,0.4140723090910524,0.29288074850793927,0.8382451994979183,1.3028138002274716,3.221686756007179,0.4140723090910524,0.2827814029527632,0.8382451994979183,1.3028138002274716,1.3028138002274716,0.30298029256446196,2.161256170284344,0.010099345555094239,25.985574247060335,0.5522875143790851,44.74330731442631,0.0,11.06335159701246,33.67995656345736,309.7528271497133,0.0,20.998252177618994,77.56180394586819,130.87873908496044,130.889069551451,0.4502943842785532,0.9797153284093311,1476.0930352958849,186816.6510931904,271352.65587312705,22636.778750858208,15013.702208977145,0.0007055513930641768,0.6281524817446489,0.06,0.7622287226169733,0.0012345656908705179,0.2679825744645909,0.0011906818375947352,0.1763877430923097,17.83758856216762
24510010200,87.74000000000001,87.77,62.57169999999999,0.0,282.0,721.0,555.0,1564.0,80.0,26.0,23.0,4.0,47.0,27.0,80.0,8.0,26.0,23.0,0.0,4.0,12.0,180.0,50.0,77.0,53.0,1369.0,819.0,299.0,471.0,3009.0,1589.0,1212755.9999999998,2710489.0,1232874.0,0.8313499764450889,0.8313499764450889,0.8175438584839231,0.7650452583709356,0.28730114396045703,0.42868283640081384,0.4676950476624268,0.1423772061029025,0.11288805268109126,0.2035048049745618,8.827777777777778,0.0003985100749869136,0.8617433865071452,0.18145352941176474,0.4626172890025575,0.3559171867007673,0.1881632913782253,0.4247777777777778,24.995344440763997,48.08886395947895,2.876703585478804,0.06392660239159818,0.36757877040096465,0.4155239617380872,0.19177993491020306,1.2785349719972106,0.06392660239159818,0.36757877040096465,0.4155239617380872,0.19177993491020306,0.19177993491020306,0.43150578651193694,0.1278535575304445,0.0,27.872048026242055,0.1314827173119065,40.86465414810301,0.0,4.4542323368264185,36.41042156093985,321.603137201778,0.0,18.23469362899657,51.05304285097915,182.35148069534372,136.75912178973388,0.0,0.009435091563352049,3593.773542060689,201222.81859833657,293594.50866857695,25484.729494132393,17182.90379058904,0.0007597234818275037,0.680444343169648,0.07,0.8280972997607384,0.0013898874749055747,0.3013865785575937,0.0013627132432054634,0.2075937108351373,14.983247663551403
24510010300,169.11,169.11,49.2311993,0.0,136.0,529.0,662.0,1330.0,69.0,13.0,31.0,9.0,66.0,1.0,69.0,1.0,13.0,31.0,0.0,9.0,64.0,188.0,32.0,47.0,109.0,1117.0,783.0,156.0,265.0,2208.0,1204.0,1212755.9999999998,2710489.0,1232874.0,0.8467590860204841,0.8467590860204841,0.7286320130583714,0.6818428894093865,0.3396636766571661,0.49621697518834074,0.5464523441951935,0.2711038602679489,0.1569282136894825,0.2701149425287357,6.404255319148936,0.004497402283836993,0.9125855615942029,0.10324512781954888,0.3981813233082707,0.4985574887218045,0.1295607973421927,0.24446808510638293,27.015363724378677,44.849568589366854,3.818714340480556,0.1828109199245942,0.629681850752564,0.26405987305840867,1.2999869030114222,1.4015501793229794,0.1828109199245942,0.629681850752564,0.26405987305840867,1.2999869030114222,1.2999869030114222,0.020312324436103407,0.020312289975035078,0.0,30.834078064838206,0.16830804028648164,48.86586867464963,0.0,2.9898669505055877,45.87600141919461,682.6444234922831,0.0,51.08636153982614,30.267679616817453,535.5009100585418,261.1230370764591,0.0,0.0035697582909227877,1224.9222471527403,195760.65349270887,279734.53352707106,26003.62881142452,16949.93207379812,0.000739404825261664,0.6633883271243569,0.06169416356217846,0.7916941635621784,0.0014181871108517562,0.30999999999999994,0.0013442375392402678,0.20541245343267697,16.578875465673228
24510010400,93.26072692880001,230.36328048709998,93.2607003,137.1,274.0,994.0,645.0,1915.0,442.0,194.0,130.0,231.0,717.0,19.0,442.0,247.0,194.0,128.0,2.0,231.0,451.0,1714.0,743.0,445.0,526.0,1663.0,901.0,201.0,281.0,2870.0,1383.0,1212755.9999999998,2710489.0,1232874.0,0.8862599928711978,0.8862599928711978,0.8407146042904278,0.8407146042904278,0.790839447635096,0.7488874418289021,0.8148200271838184,0.54250614981978,0.7478184991273997,0.8931223764933807,0.8068844807467911,0.824386736098191,0.9351878048780488,0.14348992167101826,0.519207545691906,0.33728548302872063,0.1453322993492408,0.2531271878646441,20.53382759426121,30.77393573168907,18.37858587187215,2.476928203102863,1.3939420797730149,2.0801905485212546,4.835906058574108,4.739401567781947,2.476928203102863,1.372496808873661,2.0801905485212546,4.835906058574108,4.835906058574108,0.20372985918777478,2.648487554915817,0.0214452709008144,38.91241346607509,1.0306670901984365,44.54319123978941,0.0,10.28465430013903,34.258535267523364,379.2585308348362,0.0,72.04618066001963,46.31004049164265,339.6994004283959,58.31419643010305,0.05428170082073114,0.48679849909281336,1476.5328185928493,196098.96366413732,278029.82713267003,30220.675300911447,27772.169142435887,0.0007403243145278222,0.66,0.06,0.7816892136804451,0.0016481768086738504,0.35986471791733,0.002202508892865432,0.33635100847376986,19.180988665700816
24510010500,38.36238670350001,38.370000000000005,38.3624,0.0,182.0,414.0,409.0,1008.0,1.0,0.0,12.0,1.0,14.0,0.0,1.0,2.0,0.0,12.0,0.0,1.0,12.0,28.0,13.0,3.0,12.0,880.0,565.0,188.0,199.0,1724.0,952.0,1212755.9999999998,2710489.0,1232874.0,0.6836324803598676,0.5888489672571285,0.7162587651499073,0.5543671166702996,0.10367872182589129,0.13469009184894756,0.14994815619607182,3.7705572417771436e-08,0.03196347031963476,0.05714285714285727,34.0,4.658886145103398e-15,0.8944279118329466,0.18156680555555554,0.41163458333333336,0.4067884722222222,0.19747535714285713,0.10285714285714286,26.27573652378814,44.939850615446126,0.7298817574804154,0.02606724221821185,0.3128062235318669,0.0,0.3128068212327323,0.026067156832452264,0.02606724221821185,0.3128062235318669,0.0,0.3128068212327323,0.3128068212327323,0.0,0.052134313664805226,0.0,27.005618281267363,0.03181816704545455,40.23247087255668,0.0,4.557723467978208,35.674746935726425,280.8606145862709,0.0,58.38950831521481,33.36471386823341,75.0677370766218,158.47992094905038,0.0,0.0,3692.508772478499,222379.60782408126,308786.14760578575,31010.840172009383,19005.58281469898,0.0008397638780297106,0.7552462861610633,0.06999999999999999,0.8702111024237685,0.0016912707382054962,0.37028146989835803,0.0015072634976218136,0.22999999999999995,13.833
24510020100,43.1297893525,43.132552185099996,43.1298008,0.0,256.0,324.0,509.0,1092.0,27.0,7.0,36.0,14.0,192.0,29.0,27.0,3.0,7.0,35.0,1.0,14.0,160.0,276.0,47.0,113.0,116.0,916.0,570.0,177.0,264.0,1884.0,1011.0,1212755.9999999998,2710489.0,1232874.0,0.6150969944973719,0.6150969944973719,0.6521094166826529,0.6521094166826529,0.4299426571888922,0.543069662966841,0.6010661421908858,0.7147603023670777,0.25555555555555565,0.4289044289044288,3.6630434782608696,0.06973565948077969,0.8858741719745222,0.23546813186813184,0.2973953846153846,0.4671264835164835,0.1750712759643917,0.4028985507246377,25.318925494054383,43.68210541687565,6.399285555742171,0.32460129867908377,0.8346912036657307,0.16230074770176703,3.7097289450862534,0.6260167059997981,0.32460129867908377,0.8115053123036682,0.16230074770176703,3.7097289450862534,3.7097289450862534,0.6723890788908878,0.0695575757147289,0.02318589135898469,31.71821104983348,0.3013098853711791,41.0511196379453,0.0,18.110082354319864,22.941037158900922,239.92131942790536,0.0,40.806054294968405,148.3962053316255,29.674528561191966,44.51455823280451,0.0,0.00031664896801630074,3778.953790671311,231929.69051237215,316216.28266740957,38017.80539491279,26872.653073997004,0.0008756956234177645,0.7853874986241431,0.07384687465603575,0.8953874986241431,0.0020734165859721387,0.45308124793621446,0.0021311717924985493,0.32614375481549973,17.025356054066123
24510020200,48.8189792633,48.82,48.8188992,0.0,130.0,550.0,394.0,1076.0,31.0,19.0,10.0,149.0,210.0,6.0,31.0,148.0,19.0,9.0,1.0,149.0,56.0,419.0,115.0,140.0,164.0,859.0,414.0,161.0,280.0,2087.0,855.0,1212755.9999999998,2710489.0,1232874.0,0.7058061448482404,0.7058061448482404,0.7188790803724161,0.7188790803724161,0.5609448981558263,0.676383239731565,0.7458014190589654,0.8559786234384523,0.3343974461292897,0.6577708006279435,2.0405727923627683,0.3532522837879664,0.8495379971250598,0.12158763011152415,0.5120053066914498,0.36639706319702603,0.188298,0.3290692124105012,22.040607772592832,42.74976400400592,8.582727436848158,3.0520934738734042,0.2048383954994882,0.3891930739777697,1.1470953062157931,0.6349992015618701,3.0520934738734042,0.1843545791305486,0.3891930739777697,1.1470953062157931,1.1470953062157931,0.12290293132864927,3.0316050543931112,0.020483816368785424,30.623335209440153,0.48777640977881265,38.67876183891848,0.0,13.146254535865605,25.532507338715305,229.43217661414928,0.0,52.43305479749037,91.76075454452916,36.04847938094389,78.65424312511465,0.0,0.20053374883401284,3592.044126177797,236504.4061007784,317986.84942326916,39694.550946333475,21700.223494469483,0.0008930458828349037,0.7992748873412536,0.07385497746825072,0.8954199098730028,0.0021648632835416593,0.47312986480950425,0.0017209653835902295,0.2645800901269971,17.02437720061391
24510020300,164.2291240692,258.68,164.2291012,94.46000000000001,406.0,1102.0,1017.0,2529.0,849.0,981.0,1046.0,191.0,2365.0,337.0,849.0,336.0,981.0,1041.0,5.0,191.0,1692.0,5432.0,2367.0,1253.0,1812.0,2062.0,1031.0,220.0,361.0,3344.0,1612.0,1212755.9999999998,2710489.0,1232874.0,0.8674696934872709,0.8674696934872709,0.8405477725745534,0.8405477725745534,0.8931465156770689,0.6872607319478452,0.7283175189563604,0.4450389979125786,0.7620783956244302,0.45769449176604204,0.296759941089838,0.494978941912061,0.949754557416268,0.16106022933965994,0.43633584025306443,0.40258711348359033,0.13646852977667492,0.22670839469808543,15.399218252871643,20.361798073401022,33.07574055224235,1.1630094812821092,6.369150409892911,5.973362025658291,10.302679176866004,5.16960586237855,1.1630094812821092,6.338705137858465,5.973362025658291,10.302679176866004,10.302679176866004,2.05201129706187,2.0459222990379202,0.030445272026549522,48.474958805081734,2.63433560814743,33.321997086995516,0.0,1.5221494962262356,31.799847873410524,229.95940537950852,0.0,3.896970228825896,27.2735967774693,151.0048997663409,99.36625842014068,0.3960589142132576,0.9375191629984381,1242.571387784135,212459.535152822,287406.2119965826,30389.544383794648,16562.877690969537,0.0008024386114117829,0.720732565331684,0.06649953610638627,0.806700943250348,0.0016573864185323857,0.3611651461264883,0.0013135413580238988,0.20304236895005412,19.121380506572645
24510030100,105.60346603389999,105.60346603389999,105.6035004,0.0,842.0,338.0,145.0,1328.0,62.0,120.0,11.0,71.0,337.0,83.0,62.0,78.0,120.0,10.0,1.0,71.0,176.0,601.0,220.0,149.0,232.0,1170.0,271.0,278.0,340.0,3065.0,889.0,1212755.9999999998,2710489.0,1232874.0,0.7493021703814907,0.7493021703814907,0.8585002494195748,0.8585002494195748,0.5859358568181454,0.6473226681762337,0.695175438400992,0.8702147550787146,0.32787779596290234,0.8067114093959731,1.4792013311148087,0.619277792252696,0.6897183752039152,0.6348456325301205,0.25528794427710844,0.10985642319277109,0.3127027671541058,0.243044925124792,12.575345139112692,29.023669690208393,5.691101267023143,0.6723263725662612,0.10416325930383463,1.1363265039346209,1.666611764761946,0.5871020234755874,0.6723263725662612,0.09469387177119983,1.1363265039346209,1.666611764761946,1.666611764761946,0.7859591616646072,0.7386121813219406,0.009469387532757768,18.2664464061528,0.5136754222222222,40.69069133494738,0.0,9.598479407181092,31.092211190026056,314.18320042963984,0.0,31.814270303976148,95.4474276642812,139.39137283593382,104.54161556339355,0.0,0.7682175924764715,2391.8443731489874,239170.33671130988,317143.9721441402,42220.433117858745,27805.49468673831,0.0009031712777533987,0.8115564942276539,0.07,0.8977043294851027,0.002302619790290432,0.5092608237127564,0.0022051519587020806,0.33451319937662843,17.908681728435226
24510030200,126.4463920593,147.04000000000002,126.44639969999999,20.59,308.0,718.0,431.0,1459.0,1726.0,134.0,632.0,304.0,3401.0,1575.0,1726.0,446.0,134.0,616.0,16.0,304.0,1380.0,6197.0,2917.0,1373.0,1907.0,1135.0,564.0,193.0,315.0,2342.0,1072.0,1212755.9999999998,2710489.0,1232874.0,0.7138707481035353,0.7138707481035353,0.8193034541894191,0.8193034541894191,0.7824835230581928,0.5832160732118822,0.6437996940045428,0.39307025011330243,0.548541983838857,0.29495116247076636,0.1729869291592706,0.437353681748306,0.8526873697694279,0.211684660726525,0.4926785469499657,0.29561679232350924,0.1800309514925373,0.2190140390511538,11.538489564338285,18.521683404074412,49.008933785821036,2.4041824092177277,4.998168794558005,1.059737447296296,10.913716489836776,13.650061124461704,2.4041824092177277,4.871632888355046,1.059737447296296,10.913716489836776,10.913716489836776,12.45588016749042,3.5271873529899915,0.12653590621411875,60.54742335024327,5.45991171277533,41.93578869409684,2.7831507648555185,7.61360894449647,31.53902806874198,276.75954401217234,12.65110106400588,65.78897935405567,35.42520803081307,189.79949803735715,70.85682789019988,0.3832600651608593,0.9999999925644629,2771.4492999637287,246845.2910181175,320877.6523154788,46022.681670293794,25625.756444504896,0.0009319806855277473,0.837600652883569,0.07460010881392817,0.907600652883569,0.002509987113316479,0.5544015233949945,0.002032285044508202,0.3107997823721436,18.709290330487814
